Step,Action,Reward,Q[action],Average action reward,Average general reward
423,0,3.9440,2.2384,2.2384,1.8923
424,0,1.5324,2.2364,2.2364,1.8915
425,0,0.9353,2.2327,2.2327,1.8892
426,0,3.2020,2.2355,2.2355,1.8923
427,0,1.6647,2.2339,2.2339,1.8918
428,0,1.3530,2.2314,2.2314,1.8905
429,4,-0.0342,-0.4811,-0.4811,1.8860
430,0,2.3427,2.2317,2.2317,1.8871
431,0,0.5524,2.2271,2.2271,1.8840
432,0,3.1929,2.2297,2.2297,1.8870
433,8,0.6209,-0.5054,-0.5054,1.8841
434,4,-1.7826,-0.6257,-0.6257,1.8757
435,0,3.4480,2.2331,2.2331,1.8793
436,0,2.4974,2.2338,2.2338,1.8807
437,0,1.6052,2.2321,2.2321,1.8801
438,0,1.0848,2.2290,2.2290,1.8782
439,0,3.2751,2.2318,2.2318,1.8814
440,0,0.6346,2.2275,2.2275,1.8786
441,0,0.7883,2.2236,2.2236,1.8761
442,0,0.7112,2.2195,2.2195,1.8735
443,0,3.9083,2.2240,2.2240,1.8781
444,0,4.0758,2.2290,2.2290,1.8830
445,0,3.0075,2.2311,2.2311,1.8855
446,0,2.5102,2.2318,2.2318,1.8869
447,0,2.8115,2.2334,2.2334,1.8890
448,0,1.1976,2.2306,2.2306,1.8875
449,0,0.9310,2.2272,2.2272,1.8853
450,0,0.6098,2.2229,2.2229,1.8825
451,0,2.0699,2.2225,2.2225,1.8829
452,0,1.2805,2.2200,2.2200,1.8816
453,0,2.3022,2.2202,2.2202,1.8825
454,0,1.4557,2.2182,2.2182,1.8816
455,0,1.6760,2.2168,2.2168,1.8811
456,0,1.0673,2.2138,2.2138,1.8794
457,0,2.3983,2.2143,2.2143,1.8805
458,0,2.1206,2.2140,2.2140,1.8810
459,0,1.3089,2.2117,2.2117,1.8798
460,0,0.6325,2.2076,2.2076,1.8771
461,0,2.4336,2.2082,2.2082,1.8783
462,0,1.9105,2.2074,2.2074,1.8783
463,0,2.5855,2.2084,2.2084,1.8799
464,0,2.7865,2.2099,2.2099,1.8818
465,0,3.4581,2.2131,2.2131,1.8852
466,0,0.7505,2.2093,2.2093,1.8828
467,0,3.2009,2.2118,2.2118,1.8856
468,0,2.2577,2.2120,2.2120,1.8864
469,0,-0.8439,2.2042,2.2042,1.8806
470,0,2.7792,2.2057,2.2057,1.8825
471,0,1.8772,2.2049,2.2049,1.8825
472,0,3.2997,2.2076,2.2076,1.8855
473,0,1.8130,2.2066,2.2066,1.8853
474,0,1.4692,2.2048,2.2048,1.8844
475,7,0.4931,0.6453,0.6453,1.8815
476,0,0.8966,2.2015,2.2015,1.8794
477,0,2.4464,2.2021,2.2021,1.8806
478,0,3.1608,2.2045,2.2045,1.8833
479,0,3.7238,2.2083,2.2083,1.8871
480,0,1.9780,2.2077,2.2077,1.8873
481,5,-1.3113,0.0130,0.0130,1.8807
482,0,2.9753,2.2096,2.2096,1.8829
483,0,2.8673,2.2112,2.2112,1.8850
484,0,1.5832,2.2097,2.2097,1.8844
485,0,2.8834,2.2113,2.2113,1.8864
486,0,1.4205,2.2094,2.2094,1.8855
487,0,2.4906,2.2101,2.2101,1.8867
488,0,0.9425,2.2070,2.2070,1.8848
489,8,0.0115,-0.4584,-0.4584,1.8809
490,1,-2.2347,-0.9645,-0.9645,1.8726
491,0,3.9438,2.2112,2.2112,1.8768
492,0,2.5534,2.2120,2.2120,1.8781
493,0,2.7406,2.2133,2.2133,1.8799
494,0,2.5953,2.2142,2.2142,1.8813
495,0,4.1673,2.2189,2.2189,1.8859
496,0,2.2878,2.2190,2.2190,1.8868
497,8,-2.5549,-0.6331,-0.6331,1.8778
498,0,3.9217,2.2231,2.2231,1.8819
499,0,2.1680,2.2230,2.2230,1.8825
500,7,0.7984,0.6672,0.6672,1.8803
501,0,0.5432,2.2190,2.2190,1.8777
502,0,1.5886,2.2175,2.2175,1.8771
503,0,1.8518,2.2166,2.2166,1.8771
504,0,2.1589,2.2165,2.2165,1.8776
505,0,1.5659,2.2150,2.2150,1.8770
506,0,2.6499,2.2160,2.2160,1.8785
507,0,2.2549,2.2161,2.2161,1.8793
508,0,2.1149,2.2158,2.2158,1.8797
509,0,0.7390,2.2124,2.2124,1.8775
510,0,3.1803,2.2146,2.2146,1.8800
511,0,3.4989,2.2176,2.2176,1.8832
512,0,1.9201,2.2169,2.2169,1.8833
513,7,1.6997,0.7962,0.7962,1.8829
514,0,3.9454,2.2209,2.2209,1.8869
515,3,1.3870,0.6939,0.6939,1.8859
516,0,3.2928,2.2234,2.2234,1.8887
517,0,3.7289,2.2268,2.2268,1.8922
518,6,1.1393,1.5290,1.5290,1.8908
519,0,2.4991,2.2275,2.2275,1.8919
520,0,1.6966,2.2262,2.2262,1.8916
521,4,-0.6488,-0.6280,-0.6280,1.8867
522,0,3.8420,2.2299,2.2299,1.8904
523,0,1.8976,2.2292,2.2292,1.8905
524,0,1.8115,2.2282,2.2282,1.8903
525,0,1.6840,2.2270,2.2270,1.8899
526,0,3.8026,2.2305,2.2305,1.8935
527,0,3.2269,2.2328,2.2328,1.8961
528,7,-0.3102,0.6733,0.6733,1.8919
529,6,1.5026,1.5252,1.5252,1.8912
530,1,0.8334,-0.7647,-0.7647,1.8892
531,0,0.2020,2.2282,2.2282,1.8860
532,0,3.1939,2.2304,2.2304,1.8884
533,0,2.6362,2.2313,2.2313,1.8898
534,0,2.1299,2.2311,2.2311,1.8903
535,0,1.5971,2.2297,2.2297,1.8898
536,0,1.2128,2.2274,2.2274,1.8885
537,0,4.2705,2.2319,2.2319,1.8929
538,7,1.5942,0.7654,0.7654,1.8924
539,0,3.5360,2.2348,2.2348,1.8954
540,0,1.9474,2.2342,2.2342,1.8955
541,0,3.0617,2.2360,2.2360,1.8977
542,0,2.4779,2.2365,2.2365,1.8987
543,0,3.6189,2.2396,2.2396,1.9019
544,0,2.0885,2.2392,2.2392,1.9022
545,0,1.9002,2.2385,2.2385,1.9022
546,0,2.5651,2.2392,2.2392,1.9034
547,0,2.0857,2.2389,2.2389,1.9038
548,0,1.4214,2.2371,2.2371,1.9029
549,0,1.8358,2.2362,2.2362,1.9028
550,0,2.8900,2.2376,2.2376,1.9046
551,0,1.3789,2.2358,2.2358,1.9036
552,0,1.0399,2.2332,2.2332,1.9020
553,0,2.5990,2.2340,2.2340,1.9033
554,0,2.3832,2.2343,2.2343,1.9042
555,0,1.4288,2.2326,2.2326,1.9033
556,0,1.6227,2.2313,2.2313,1.9028
557,8,0.2242,-0.5671,-0.5671,1.8998
558,0,2.1092,2.2310,2.2310,1.9002
559,0,2.9916,2.2327,2.2327,1.9021
560,0,2.7086,2.2337,2.2337,1.9036
561,0,2.1072,2.2334,2.2334,1.9039
562,3,2.5409,0.8786,0.8786,1.9051
563,0,1.7965,2.2325,2.2325,1.9049
564,0,2.5741,2.2332,2.2332,1.9060
565,2,2.1700,1.9266,1.9266,1.9065
566,0,2.9425,2.2347,2.2347,1.9083
567,0,2.8808,2.2360,2.2360,1.9101
568,0,4.3852,2.2405,2.2405,1.9144
569,0,2.0434,2.2401,2.2401,1.9146
570,0,1.7467,2.2391,2.2391,1.9143
